Ticker symbol,Security,GICS Sector,GICS Sub Industry,start at yahoo
CHD,Church & Dwight,Consumer Staples,Household Products,1980-03-17 00:00:00
CI,CIGNA Corp.,Health Care,Managed Health Care,1982-03-31 00:00:00
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,2002-09-25 00:00:00
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1980-03-17 00:00:00
CTAS,Cintas Corporation,Industrials,Diversified Support Services,1983-08-19 00:00:00
CSCO,Cisco Systems,Information Technology,Communications Equipment,1990-02-16 00:00:00
C,Citigroup Inc.,Financials,Diversified Banks,1977-01-03 00:00:00
CFG,Citizens Financial Group,Financials,Regional Banks,2014-09-24 00:00:00
CTXS,Citrix Systems,Information Technology,Internet Software & Services,1995-12-08 00:00:00
CLX,The Clorox Company,Consumer Staples,Household Products,1980-03-17 00:00:00
CME,CME Group Inc.,Financials,Financial Exchanges & Data,2002-12-06 00:00:00
CMS,CMS Energy,Utilities,Multi-Utilities,1980-03-17 00:00:00
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,1962-01-02 00:00:00
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,1998-06-19 00:00:00
CL,Colgate-Palmolive,Consumer Staples,Household Products,1977-01-03 00:00:00
CMCSA,Comcast Corp.,Consumer Discretionary,Cable & Satellite,1980-03-17 00:00:00
CMA,Comerica Inc.,Financials,Diversified Banks,1980-03-17 00:00:00
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1980-03-17 00:00:00
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,2007-08-03 00:00:00
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1981-12-31 00:00:00
ED,Consolidated Edison,Utilities,Electric Utilities,1970-01-02 00:00:00
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1992-03-17 00:00:00
COO,The Cooper Companies,Health Care,Health Care Supplies,1983-01-21 00:00:00
GLW,Corning Inc.,Information Technology,Electronic Components,1981-12-31 00:00:00
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,1986-07-09 00:00:00
COTY,"Coty, Inc",Consumer Staples,Personal Products,2013-06-13 00:00:00
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,1998-08-18 00:00:00
CSRA,CSRA Inc.,Information Technology,IT Consulting & Other Services,2015-11-16 00:00:00
CSX,CSX Corp.,Industrials,Railroads,1980-11-03 00:00:00
CMI,Cummins Inc.,Industrials,Industrial Machinery,1980-03-17 00:00:00
CVS,CVS Health,Consumer Staples,Drug Retail,1980-03-17 00:00:00
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,1992-06-05 00:00:00
DHR,Danaher Corp.,Health Care,Health Care Equipment,1980-03-17 00:00:00
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1995-05-09 00:00:00
DVA,DaVita Inc.,Health Care,Health Care Facilities,1995-10-31 00:00:00
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1972-06-01 00:00:00
DLPH,Delphi Automotive PLC,Consumer Discretionary,Auto Parts & Equipment,2011-11-17 00:00:00
DAL,Delta Air Lines Inc.,Industrials,Airlines,2007-05-03 00:00:00
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,1987-08-12 00:00:00
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,1985-07-22 00:00:00
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,2004-10-29 00:00:00
DFS,Discover Financial Services,Financials,Consumer Finance,2007-06-14 00:00:00
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,2005-07-08 00:00:00
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite,2008-09-18 00:00:00
DISH,Dish Network,Consumer Discretionary,Cable & Satellite,1995-06-21 00:00:00
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2009-11-13 00:00:00
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,1995-03-07 00:00:00
D,Dominion Energy,Utilities,Electric Utilities,1980-03-17 00:00:00
DOV,Dover Corp.,Industrials,Industrial Machinery,1980-03-17 00:00:00
DWDP,DowDuPont,Materials,Diversified Chemicals,1972-06-01 00:00:00
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,2008-05-07 00:00:00
DTE,DTE Energy Co.,Utilities,Multi-Utilities,1970-01-02 00:00:00
DRE,Duke Realty Corp,Real Estate,Industrial REITs,1986-02-06 00:00:00
DUK,Duke Energy,Utilities,Electric Utilities,1980-03-17 00:00:00
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,1981-12-31 00:00:00
ETFC,E*Trade,Financials,Investment Banking & Brokerage,1996-08-16 00:00:00
EMN,Eastman Chemical,Materials,Diversified Chemicals,1993-12-14 00:00:00
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1972-06-01 00:00:00
EBAY,eBay Inc.,Information Technology,Internet Software & Services,1998-09-24 00:00:00
ECL,Ecolab Inc.,Materials,Specialty Chemicals,1980-03-17 00:00:00
EIX,Edison Int'l,Utilities,Electric Utilities,1980-01-02 00:00:00
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2000-03-27 00:00:00
EA,Electronic Arts,Information Technology,Home Entertainment Software,1989-09-20 00:00:00
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,1972-06-01 00:00:00
ETR,Entergy Corp.,Utilities,Electric Utilities,1972-06-01 00:00:00
EVHC,Envision Healthcare,Health Care,Health Care Services,2013-08-14 00:00:00
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,1989-10-04 00:00:00
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,1980-03-17 00:00:00
EFX,Equifax Inc.,Industrials,Research & Consulting Services,1980-03-17 00:00:00
EQIX,Equinix,Real Estate,Specialized REITs,2000-08-11 00:00:00
EQR,Equity Residential,Real Estate,Residential REITs,1993-08-12 00:00:00
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,1994-06-07 00:00:00
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,1995-11-17 00:00:00
ES,Eversource Energy,Utilities,Multi-Utilities,1980-03-17 00:00:00
RE,Everest Re Group Ltd,Financials,Reinsurance,1995-10-03 00:00:00
EXC,Exelon Corp.,Utilities,Multi-Utilities,1980-01-02 00:00:00
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,2005-07-21 00:00:00
EXPD,Expeditors International,Industrials,Air Freight & Logistics,1984-09-26 00:00:00
ESRX,Express Scripts,Health Care,Health Care Distributors,1992-06-09 00:00:00
EXR,Extra Space Storage,Real Estate,Specialized REITs,2004-08-16 00:00:00
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,1970-01-02 00:00:00
FFIV,F5 Networks,Information Technology,Communications Equipment,1999-06-04 00:00:00
FB,"Facebook, Inc.",Information Technology,Internet Software & Services,2012-05-18 00:00:00
FAST,Fastenal Co,Industrials,Building Products,1987-08-20 00:00:00
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,1973-05-03 00:00:00
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,1978-04-12 00:00:00
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,2001-06-20 00:00:00
FITB,Fifth Third Bancorp,Financials,Regional Banks,1980-03-17 00:00:00
FE,FirstEnergy Corp,Utilities,Electric Utilities,1997-11-10 00:00:00
FISV,Fiserv Inc,Information Technology,Internet Software & Services,1986-09-25 00:00:00
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,1993-06-22 00:00:00
FLS,Flowserve Corporation,Industrials,Industrial Machinery,1980-03-17 00:00:00
FLR,Fluor Corp.,Industrials,Construction & Engineering,2000-12-01 00:00:00
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,1980-03-17 00:00:00
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,1970-01-02 00:00:00
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,1972-06-01 00:00:00
FTV,Fortive Corp,Industrials,Industrial Machinery,2016-07-05 00:00:00
FBHS,Fortune Brands Home & Security,Industrials,Building Products,2011-09-16 00:00:00
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1983-09-23 00:00:00
FCX,Freeport-McMoRan Inc.,Materials,Copper,1995-07-10 00:00:00
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,1980-03-17 00:00:00
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,2000-12-08 00:00:00
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,1993-10-05 00:00:00
GD,General Dynamics,Industrials,Aerospace & Defense,1977-01-03 00:00:00
GE,General Electric,Industrials,Industrial Conglomerates,1962-01-02 00:00:00
GGP,General Growth Properties Inc.,Real Estate,Retail REITs,1993-04-08 00:00:00
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1980-03-17 00:00:00
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2010-11-18 00:00:00
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1980-03-17 00:00:00
GILD,Gilead Sciences,Health Care,Biotechnology,1992-01-22 00:00:00
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2001-01-16 00:00:00
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,1999-05-04 00:00:00
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,1970-01-02 00:00:00
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,1980-03-17 00:00:00
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,1972-06-01 00:00:00
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2006-09-06 00:00:00
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,1986-07-08 00:00:00
HRS,Harris Corporation,Information Technology,Communications Equipment,1981-12-31 00:00:00
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,1995-12-15 00:00:00
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,1980-03-17 00:00:00
HCA,HCA Holdings,Health Care,Health Care Facilities,2011-03-10 00:00:00
HCP,HCP Inc.,Real Estate,Health Care REITs,1985-05-23 00:00:00
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,1980-10-15 00:00:00
HSIC,Henry Schein,Health Care,Health Care Distributors,1995-11-03 00:00:00
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,1980-03-17 00:00:00
HES,Hess Corporation,Energy,Integrated Oil & Gas,1980-03-17 00:00:00
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-10-19 00:00:00
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2013-12-12 00:00:00
HOLX,Hologic,Health Care,Health Care Equipment,1990-03-01 00:00:00
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1981-09-22 00:00:00
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,1970-01-02 00:00:00
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,1980-03-17 00:00:00
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,1980-03-17 00:00:00
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1962-01-02 00:00:00
HUM,Humana Inc.,Health Care,Managed Health Care,1981-12-31 00:00:00
HBAN,Huntington Bancshares,Financials,Regional Banks,1980-03-17 00:00:00
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,1991-06-21 00:00:00
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,2014-06-19 00:00:00
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1980-03-17 00:00:00
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,2000-07-28 00:00:00
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,1980-03-17 00:00:00
INTC,Intel Corp.,Information Technology,Semiconductors,1980-03-17 00:00:00
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2005-11-16 00:00:00
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,1962-01-02 00:00:00
INCY,Incyte,Health Care,Biotechnology,1993-11-04 00:00:00
IP,International Paper,Materials,Paper Packaging,1970-01-02 00:00:00
IPG,Interpublic Group,Consumer Discretionary,Advertising,1980-03-17 00:00:00
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,1981-12-31 00:00:00
INTU,Intuit Inc.,Information Technology,Internet Software & Services,1993-03-12 00:00:00
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,2000-06-16 00:00:00
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,1995-08-25 00:00:00
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service,2013-05-09 00:00:00
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,1996-02-01 00:00:00
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,1980-03-17 00:00:00
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,1983-11-22 00:00:00
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,1994-10-31 00:00:00
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,1970-01-02 00:00:00
JCI,Johnson Controls International,Industrials,Building Products,1985-03-27 00:00:00
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,1980-03-17 00:00:00
JNPR,Juniper Networks,Information Technology,Communications Equipment,1999-06-25 00:00:00
KSU,Kansas City Southern,Industrials,Railroads,1980-03-17 00:00:00
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,1980-03-17 00:00:00
KEY,KeyCorp,Financials,Regional Banks,1987-11-05 00:00:00
KMB,Kimberly-Clark,Consumer Staples,Household Products,1980-03-17 00:00:00
KIM,Kimco Realty,Real Estate,Retail REITs,1991-11-22 00:00:00
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2011-02-11 00:00:00
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,1980-10-08 00:00:00
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,1992-05-19 00:00:00
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,2015-07-06 00:00:00
KR,Kroger Co.,Consumer Staples,Food Retail,1977-01-03 00:00:00
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,1982-04-01 00:00:00
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,1998-05-19 00:00:00
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,1990-03-29 00:00:00
LRCX,Lam Research,Information Technology,Semiconductor Equipment,1984-05-04 00:00:00
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,1980-03-17 00:00:00
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,1980-03-17 00:00:00
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,1980-03-17 00:00:00
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,1972-06-01 00:00:00
LNC,Lincoln National,Financials,Multi-line Insurance,1980-03-17 00:00:00
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2003-10-06 00:00:00
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,1977-01-03 00:00:00
L,Loews Corp.,Financials,Multi-line Insurance,1980-03-17 00:00:00
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,1980-03-17 00:00:00
LYB,LyondellBasell,Materials,Specialty Chemicals,2010-04-28 00:00:00
MTB,M&T Bank Corp.,Financials,Regional Banks,1980-03-17 00:00:00
MAC,Macerich,Real Estate,Retail REITs,1994-03-10 00:00:00
M,Macy's Inc.,Consumer Discretionary,Department Stores,1992-02-05 00:00:00
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,1970-01-02 00:00:00
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-06-24 00:00:00
