Ticker symbol,Security,GICS Sector,GICS Sub Industry,start at yahoo
PNC,PNC Financial Services,Financials,Regional Banks,1988-09-07 00:00:00
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1997-06-12 00:00:00
PPG,PPG Industries,Materials,Specialty Chemicals,1983-04-06 00:00:00
PPL,PPL Corp.,Utilities,Electric Utilities,1985-04-08 00:00:00
PX,Praxair Inc.,Materials,Industrial Gases,1992-06-17 00:00:00
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,1999-03-31 00:00:00
PFG,Principal Financial Group,Financials,Life & Health Insurance,2001-10-23 00:00:00
PG,Procter & Gamble,Consumer Staples,Personal Products,1970-01-02 00:00:00
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,1980-03-17 00:00:00
PLD,Prologis,Real Estate,Industrial REITs,1997-11-21 00:00:00
PRU,Prudential Financial,Financials,Life & Health Insurance,2001-12-13 00:00:00
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,1980-01-02 00:00:00
PSA,Public Storage,Real Estate,Specialized REITs,1980-11-18 00:00:00
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,1985-07-01 00:00:00
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1987-07-10 00:00:00
QRVO,Qorvo,Information Technology,Semiconductors,2015-01-02 00:00:00
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,1998-02-12 00:00:00
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,1991-12-13 00:00:00
DGX,Quest Diagnostics,Health Care,Health Care Services,1996-12-17 00:00:00
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,1992-12-28 00:00:00
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,1987-12-30 00:00:00
RTN,Raytheon Co.,Industrials,Aerospace & Defense,1981-12-31 00:00:00
O,Realty Income Corporation,Real Estate,Retail REITs,1994-10-18 00:00:00
RHT,Red Hat Inc.,Information Technology,Systems Software,1999-08-11 00:00:00
REG,Regency Centers Corporation,Real Estate,Retail REITs,1993-10-29 00:00:00
REGN,Regeneron,Health Care,Biotechnology,1991-04-02 00:00:00
RF,Regions Financial Corp.,Financials,Regional Banks,1990-03-26 00:00:00
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,1998-07-01 00:00:00
RMD,ResMed,Health Care,Health Care Equipment,1995-06-02 00:00:00
RHI,Robert Half International,Industrials,Human Resource & Employment Services,1992-03-10 00:00:00
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,1981-12-31 00:00:00
COL,Rockwell Collins,Industrials,Aerospace & Defense,2001-06-15 00:00:00
ROP,Roper Technologies,Industrials,Industrial Conglomerates,1992-02-13 00:00:00
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,1985-08-08 00:00:00
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1993-04-28 00:00:00
CRM,Salesforce.com,Information Technology,Internet Software & Services,2004-06-23 00:00:00
SBAC,SBA Communications,Real Estate,Specialized REITs,1999-06-16 00:00:00
SCG,SCANA Corp,Utilities,Multi-Utilities,1987-12-30 00:00:00
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1981-12-31 00:00:00
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Cable & Satellite,2008-06-12 00:00:00
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2002-12-11 00:00:00
SEE,Sealed Air,Materials,Paper Packaging,1987-12-30 00:00:00
SRE,Sempra Energy,Utilities,Multi-Utilities,1998-06-29 00:00:00
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1980-03-17 00:00:00
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,1988-07-14 00:00:00
SPG,Simon Property Group Inc,Real Estate,Retail REITs,1993-12-14 00:00:00
SWKS,Skyworks Solutions,Information Technology,Semiconductors,1984-09-07 00:00:00
SLG,SL Green Realty,Real Estate,Office REITs,1997-08-15 00:00:00
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,1985-07-01 00:00:00
SO,Southern Co.,Utilities,Electric Utilities,1981-12-31 00:00:00
LUV,Southwest Airlines,Industrials,Airlines,1980-01-02 00:00:00
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,1985-07-01 00:00:00
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,1985-07-01 00:00:00
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,1992-06-26 00:00:00
STT,State Street Corp.,Financials,Asset Management & Custody Banks,1986-07-09 00:00:00
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,1996-08-23 00:00:00
SYK,Stryker Corp.,Health Care,Health Care Equipment,1980-03-17 00:00:00
STI,SunTrust Banks,Financials,Regional Banks,1987-12-30 00:00:00
SYMC,Symantec Corp.,Information Technology,Application Software,1989-06-23 00:00:00
SYF,Synchrony Financial,Financials,Consumer Finance,2014-07-31 00:00:00
SNPS,Synopsys Inc.,Information Technology,Application Software,1992-02-26 00:00:00
SYY,Sysco Corp.,Consumer Staples,Food Distributors,1973-05-08 00:00:00
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,1986-04-02 00:00:00
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2000-10-06 00:00:00
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,1980-03-17 00:00:00
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,2007-06-14 00:00:00
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,2001-06-15 00:00:00
TXN,Texas Instruments,Information Technology,Semiconductors,1972-06-01 00:00:00
TXT,Textron Inc.,Industrials,Aerospace & Defense,1980-03-17 00:00:00
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,1980-03-17 00:00:00
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1987-05-05 00:00:00
TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite,1992-03-19 00:00:00
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1987-06-26 00:00:00
TMK,Torchmark Corp.,Financials,Life & Health Insurance,1980-10-01 00:00:00
TSS,Total System Services,Information Technology,Internet Software & Services,1983-08-10 00:00:00
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,1994-02-17 00:00:00
TDG,TransDigm Group,Industrials,Aerospace & Defense,2006-03-15 00:00:00
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,1980-03-17 00:00:00
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,2011-12-07 00:00:00
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,1994-11-03 00:00:00
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,1986-05-20 00:00:00
